Tip;secao;Data;Loja;Valores
RENTABILIDADE;HORT FRUT;31/01/2016;CENTRO;237662,25
RENTABILIDADE;LEITE;31/01/2016;CENTRO;13416,1
RENTABILIDADE;LIMPEZA DOMESTICA;31/01/2016;CENTRO;133405,84
RENTABILIDADE;OVOS;31/01/2016;CENTRO;17782,14
RENTABILIDADE;PADARIA INDUSTRIAL;31/01/2016;CENTRO;21122,16
RENTABILIDADE;PADARIA PROPRIA;31/01/2016;CENTRO;79430,11
RENTABILIDADE;PAPEL HIGIENICO;31/01/2016;CENTRO;42156,38
RENTABILIDADE;PAPELARIA;31/01/2016;CENTRO;4319,94
RENTABILIDADE;PEIXES RESFRIADOS;31/01/2016;CENTRO;23463,65
RENTABILIDADE;PET SHOP;31/01/2016;CENTRO;5611,76
RENTABILIDADE;UTILIDADES DOMESTICA;31/01/2016;CENTRO;58032,45
RENTABILIDADE;VESTUARIO;31/01/2016;CENTRO;10081,92
RENTABILIDADE;GERAL;31/01/2016;CENTRO;1709551,96
RENTABILIDADE;AÇOUGUE;31/01/2016;GARAVELO;54901
RENTABILIDADE;ALHO;31/01/2016;GARAVELO;44853,47
RENTABILIDADE;ALIMENTOS DOCE;31/01/2016;GARAVELO;223749,93
RENTABILIDADE;ALIMENTOS SALGADO;31/01/2016;GARAVELO;220385,19
RENTABILIDADE;AUTOS;31/01/2016;GARAVELO;2121,24
RENTABILIDADE;BASICO;31/01/2016;GARAVELO;180218,16
RENTABILIDADE;BEBIDAS DEST E VINHO;31/01/2016;GARAVELO;4372,23
RENTABILIDADE;BEBIDAS REFRIGERADAS;31/01/2016;GARAVELO;67794,21
RENTABILIDADE;FRIOS;31/01/2016;GARAVELO;102431,73
RENTABILIDADE;FRIOS ACHOCOLATADOS;31/01/2016;GARAVELO;7320,03
RENTABILIDADE;FRIOS CONGELADOS;31/01/2016;GARAVELO;149872,53
RENTABILIDADE;FRIOS LATICINIOS;31/01/2016;GARAVELO;54494,3
RENTABILIDADE;HIGIENE;31/01/2016;GARAVELO;218326,93
RENTABILIDADE;HORT FRUT;31/01/2016;GARAVELO;266319,42
RENTABILIDADE;LEITE;31/01/2016;GARAVELO;14341,74
